,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Adj Close
0,0.0,0.0,0.0,0.0,0.0,2023-03-09 00:00:00+05:30,40.0,42.0,38.099998474121094,42.0,1404000.0,0.0,0.0,0.0,
1,1.0,1.0,1.0,1.0,1.0,2023-03-10 00:00:00+05:30,44.099998474121094,44.099998474121094,43.5,44.099998474121094,510000.0,0.0,0.0,0.0,
2,2.0,2.0,2.0,2.0,2.0,2023-03-13 00:00:00+05:30,46.29999923706055,46.29999923706055,44.0,45.95000076293945,801000.0,0.0,0.0,0.0,
3,3.0,3.0,3.0,3.0,3.0,2023-03-14 00:00:00+05:30,45.0,46.0,43.650001525878906,44.04999923706055,216000.0,0.0,0.0,0.0,
4,4.0,4.0,4.0,4.0,4.0,2023-03-15 00:00:00+05:30,42.25,43.099998474121094,41.849998474121094,41.849998474121094,225000.0,0.0,0.0,0.0,
5,5.0,5.0,5.0,5.0,5.0,2023-03-16 00:00:00+05:30,41.0,43.900001525878906,39.75,42.75,132000.0,0.0,0.0,0.0,
6,6.0,6.0,6.0,6.0,6.0,2023-03-17 00:00:00+05:30,41.04999923706055,44.79999923706055,41.04999923706055,43.75,123000.0,0.0,0.0,0.0,
7,7.0,7.0,7.0,7.0,7.0,2023-03-20 00:00:00+05:30,43.849998474121094,43.849998474121094,41.599998474121094,43.0,75000.0,0.0,0.0,0.0,
8,8.0,8.0,8.0,8.0,8.0,2023-03-21 00:00:00+05:30,43.0,43.0,41.04999923706055,41.099998474121094,48000.0,0.0,0.0,0.0,
9,9.0,9.0,9.0,9.0,9.0,2023-03-22 00:00:00+05:30,40.45000076293945,42.75,40.45000076293945,42.599998474121094,18000.0,0.0,0.0,0.0,
10,10.0,10.0,10.0,10.0,10.0,2023-03-23 00:00:00+05:30,42.599998474121094,42.599998474121094,41.400001525878906,41.79999923706055,42000.0,0.0,0.0,0.0,
11,11.0,11.0,11.0,11.0,11.0,2023-03-24 00:00:00+05:30,41.0,41.0,37.04999923706055,38.400001525878906,72000.0,0.0,0.0,0.0,
